gdp_usd,gdp_per_capita,Population,Life.Expectancy.at.Birth..Both.Sexes,Total.Fertility.Rate,box_gdp_ratio,log_gdp,log_pop,box_class
4052010000000,48047.714250656005,84333044,81.5,1.58,4.116815308945437e-5,12.607670508489688,7.925997776463045,Low
3957210000000,46838.12115362195,84486950,81.3,1.56,2.809540534871791e-5,12.597389097883218,7.926789632255307,Low
3940140000000,46629.84420564001,84498245,81.1,1.57,2.4767089494281928e-5,12.595511653335032,7.926847688893706,Low
4348300000000,51514.53112458971,84409193,81.3,1.57,5.668101855897707e-5,12.638319499501195,7.926389748186727,Low
4163600000000,49380.5361414977,84316622,81.5,1.57,2.9965271880103756e-5,12.619468999864173,7.9259131989578115,Low
4525700000000,53736.52472666172,84220184,81.7,1.58,2.2499603287889165e-4,12.655685762021989,7.92541618590991,High
4659930000000,55396.81237673727,84119100,81.9,1.58,2.765537829967403e-5,12.668379392904148,7.9248946174721455,Low
164044000000,30734.722569872763,5337416,76.7,1.77,3.605219697154422e-4,11.214960350451756,6.727331053180894,High
164882000000,30782.98316123288,5356271,76.9,1.74,1.2231508594024817e-4,11.217173246746022,6.728862541982091,Low
218421000000,40544.077421347596,5387248,77.3,1.76,1.436125784608623e-4,11.339294391109979,6.731366968594478,High
251986000000,46657.79255274336,5400727,77.7,1.79,6.727239608549681e-5,11.401376412640095,6.732452224792747,Low
265150000000,48961.2695399598,5415505,78.1,1.8,1.9466222892702243e-4,11.423491631454581,6.733638961143652,High
283386000000,52158.2604710488,5433195,78.2,1.85,7.940263809785946e-5,11.4523783911728,6.735055292352738,Low
320213000000,58666.41017185152,5458200,78.3,1.85,6.647939340376562e-5,11.505438959418568,6.737049445094415,Low
354979000000,64641.678175387075,5491488,78.6,1.9,6.147545347752966e-5,11.550202661635707,6.739690038917914,Low
322619000000,58427.40297520314,5521707,78.9,1.85,6.690361076068055e-4,11.508689940710013,6.742073357815877,High
326793000000,58434.44544737998,5592472,80,1.73,1.4268533291716774e-4,11.514272745247364,6.747603818378693,High
352833000000,62479.2043217116,5647207,80.6,1.6900000000000002,0.0013265785569943854,11.547569197343197,6.7518337072180366,High
331611000000,57463.77917866605,5770783,81.1,1.75,0.001314286736567846,11.52062892827168,6.7612347437464635,High
345401000000,59343.59031805427,5820359,81.4,1.7,5.567630319541634e-4,11.538323590596388,6.764949772778855,High
355631000000,60924.61664179756,5837230,81.5,1.6800000000000002,3.583881045240713e-5,11.550999610965606,6.766206805827363,Low
408378000000,69662.52114808108,5862234,81.4,1.73,3.1068047250341594e-5,11.611062337881192,6.768063149974215,Low
401946000000,68042.73657930634,5907258,81.3,1.56,6.521935533628896e-5,11.604167711101157,6.771385939120764,Low
429457000000,71460.50783473614,6009711,81.2,1.52,1.2904463543497952e-4,11.632919685984248,6.778853587789252,High
79070274743,7732.793712919246,10225318,70.9,2.3,7.864842913740525e-4,10.898013247829518,7.009676823133925,High
123084000000,3682.926602298535,33420161,74.5,2.52,1.8656934288778396e-4,11.090201601563882,7.524008537754954,Low
35194947000,2652.002228905926,13271085,75.9,3.21,3.578533588926842e-4,10.546480315536572,7.122906430795865,Low
598103000000,14735.59193519506,40589004,79.2,1.22,4.2066639023713305e-5,11.776775980777227,7.608408394440934,Low
627799000000,15294.677351226625,41046894,79.5,1.23,7.729890028496381e-4,11.797820619591441,7.613280299830721,High
708938000000,17025.56608714,41639614,79.6,1.24,7.562081282143149e-4,11.85060825572572,7.6195066949391945,High
907963000000,21454.181122443435,42321028,79.5,1.29,5.2606292326889973e-5,11.958068151138669,7.626556208396341,Low
1069830000000,24879.676602111012,43000157,80.1,1.31,1.046250852939252e-4,12.029314772145444,7.633470041256544,Low
1154670000000,26420.014274546065,43704367,80.1,1.33,3.110199182450397e-4,12.062457882360794,7.640524834435998,High
1261850000000,28399.736674787735,44431750,80.7,1.36,3.0853644093988984e-4,12.10100773205227,7.647693418808641,High
1476750000000,32663.051609103462,45211636,80.7,1.3800000000000001,4.191796207888945e-4,12.169306979529818,7.655250222427289,High
